vl_site;vl_year;year;use;url;uid;title;author;anchor
"Haapsalu";"1897";"1900";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=103157";"ra.ee=ERA.T-6.3.707 leht 1";"Eestimaa kubermang. 8-23 Lääne maakond. Эстляндская губерния. 8-23 Гапсальский уезд";"Киндауровь";"1900";
"Haapsalu";"";"1907";"U";"http://www.digar.ee/arhiiv/nlib-digar:397431";"";"";"";"";
"Haapsalu";"";"1909";"U";"";"Tõnu Raid: ";"г. Гапсаль";"";"";
"Haapsalu";"1911";"1911";"P";"http://www.digar.ee/viewer/et/nlib-digar:46503";"isbn=9789949539802;nlib.ee=ARKtB 5.934";"План уездного города и лечебного курорта Гапсаля";"";"1911";
"Haapsalu";"";"1913";"U";"https://www.digar.ee/viewer/et/nlib-digar:353507/312035/page/281";"isbn=978-9949-709-29-8 (pdf)";"Hapsal 1:10 000";"";"";
"Haapsalu";"1911";"1915";"P";"http://www.digar.ee/viewer/et/nlib-digar:357345";"isbn=978-9949-654-95-6";"VIc-14 [Haapsalu] : Гапсальск. уезд. Эстляндск. губ";"Корпус Военных Топографов";"1915";
"Haapsalu";"1924";"1924";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=103714";"ra.ee=ERA.T-6.3.1479 leht 1";"Haapsalu linna administratiivpiirkonna laiendamise kava";"A. Tomingas, Ignatius";"1924";
"Haapsalu";"1924";"1925";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=29953";"ra.ee=EAA.2110.1.4811 leht 6";"Haapsalu linna plaan";"";"1925";
"Haapsalu";"193X";"1936";"P";"http://www.digar.ee/viewer/et/nlib-digar:301245";"isbn=978-9949-609-35-2";"Haapsalu : Läänemaa 1936 a.";"A. Tibar, Eesti Kaitsevägi, Topo-hüdrograafia osakond";"1936";
"Haapsalu";"193X";"193X";"P";"https://www.digar.ee/viewer/et/nlib-digar:432975/368071/page/333";"";"Haapsalu";"Eesti Entsüklopeedia III";"193X";
"Haapsalu";"1941";"1941";"P";"http://www.digar.ee/viewer/et/nlib-digar:46343";"isbn=9789949539642;nlib.ee=ARKtC 10.269";"Stadtplan von Hapsal";"Generalstab der Luftwaffe";"1941";
"Haapsalu";"1946";"1951";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=305594";"ra.ee=EAM.3.1.399 leht 1";"Haapsalu linna planeerimise ja hoonestmaise projekt.";"Eesti NSV Arhitektuuri Valitsus MN juures. Vabariiklik projekteerimise trust ""Estonprojekt"", arh. Voldemar Meigas";"1951";
"Haapsalu";"1966";"1966";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=104651";"ra.ee=ERA.T-14.4-6.33908 leht 1";"Haapsalu generaalplaan, tugiplaan";"";"1966";
"Haapsalu";"1970";"1970";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=66950";"ra.ee=EAA.5238.1.670 leht 1";"Haapsalu linna geodeetiline plaan";"";"1970";
"Kardla";"1830";"1830";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=287291";"ra.ee=EAA.46.2.366 leht 9";"Special-Charte von dem Hofe Kertel und dem Dorfe gleichen Namens.";"Johann Heinrich Schmidt, Carl Faehlmann";"1830";
"Kardla";"1877";"1877";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=226484";"ra.ee=EAA.2072.9.130 leht 1 foolio XVII";"Karte von einem Theile der Hofsländereien des Privatgutes Dago-Kertelhof";"Friedrich Eurich";"1877";
"Kardla";"";"1900";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=294593";"ra.ee=EAA.854.4.27a leht 127";"[Топографическая 1-верстная карта России. Эстлянд. губ. Гапсальск. уезд. Лист 8-19/ Vene topograafide aastatel 1893-1913 mõõdistatud 1-verstane kaart.]";"";"";
"Kardla";"";"1900";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=103149";"ra.ee=ERA.T-6.3.703 leht 1";"Eestimaa kubermang. 8-19 (Dagö) Lääne maakond. Эстляндская губерния. 8-19 (ос. Даго) Гапсальский уезд";"";"";
"Kardla";"1917";"1917";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=101934";"ra.ee=ERA.T-6.3.339 leht 1";"8-19 Kertel. Gruppe Dagö. [Karte der 8. Armee 1 : 25 000]";"Kartogr. Abteilung der Königl. Preuß. Landesaufnahme";"1917";
"Kardla";"1922";"1922";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=103080";"ra.ee=ERA.T-6.3.1533 leht 1";"Kärdla alevi plaan";"A. Aun";"1922";
"Kardla";"1923";"1923";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=103083";"ra.ee=ERA.T-6.3.1532 leht 1";"Lääne maakonnas oleva Kärdla alevi maa-ala plaan";"A. Toom & E. Volmülleri maamõõdu ja kultuurtehnika büroo, A. Aun";"1923";
"Kardla";"";"1933";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=103086";"ra.ee=ERA.T-6.3.1531 leht 1";"Kärdla alevi planeerimise kava";"A. Toom";"";
"Kardla";"";"1933";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=103087";"ra.ee=ERA.T-6.3.1531 leht 2";"Kärdla alevi planeerimise kava";"A. Toom";"";
"Kardla";"1939";"1939";"P";"http://www.digar.ee/viewer/et/nlib-digar:337477/295514/page/11";"isbn=978-9949-639-89-2";"Lääne-Eesti saarestik";"Sõjavägede Staabi Topo-Hüdrograafia Osakond";"1939";
"Kardla";"1954";"1954";"P";"https://www.digar.ee/arhiiv/nlib-digar:290880";"isbn=978-9949-595-81-5";"Hiiumaa rajoonikeskuse Kärdla linna tugiplaan";"L. Pettai, Estonprojekt";"1954";
"Kardla";"1970";"1970";"P";"https://fotoladu.maaamet.ee/arhiiv=142396";"ID=С602 15/VI 70 224";"(Kärdla õhuvõte Maaameti fotolaost)";"";"1970";
"Kardla";"";"1982";"C";"https://www.digar.ee/arhiiv/et/pildimaterjal/82307";"isbn=978-9949-609-79-6";"Балтийское море. Средняя часть : северный берег острова Хийумаа";"Гидрографическая служба Балтийского флота, Министерство обороны. Главное управление навигации и океанографии";"";
"Kuressaare";"1641";"1641";"P";"https://drive.google.com/file/d/1Bw3v8VQFNEE3AZIga4nhpI2GtJl4hY7u/view?usp=sharing";"isbn=9789949512096;riksarkivet.se=SE/KrA/0406/28/002/001";"Grvndtriss der Festvng Arensborch";"Georg v. Schwengeln";"1641";
"Kuressaare";"1681";"1681";"P";"https://drive.google.com/file/d/1bY1q3Fh8aOBayeNgWFYJTfv0lWTHX_6r/view?usp=sharing";"isbn=9789949512096;riksarkivet.se=SE/KrA/0406/28/002/015";"Designation des Arensbourgischen Schloss und Stadt";"Paul von Essen";"1681";
"Kuressaare";"";"1695";"U";"https://sok.riksarkivet.se/bildvisning/K0012292_00001";"SE/KrA/0406/28/002/019 a";"Arensbourg";"Paul von Essen";"";
"Kuressaare";"";"1711";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=285202";"ra.ee=EAA.3742.1.189 leht 2";"Designation des Arensbourgeschen Schlossrad Stadt.";"";"";
"Kuressaare";"";"1740";"U";"";"Tõnu Raid: 8. Arensburg, ca 1740a, Berliin.tif";"Plan von Arensburg auf der Insel Oesel";"";"";
"Kuressaare";"1765";"1765";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=229166";"ra.ee=LVVA.6828.4.518 leht 1";"Grund Riss der Creiss Stadt Arensburg gemessen von dem Revisoren Inspectore B.I.Rolander in denen Jahren 1765 und 1766 und mundirt im Jahr 1784 durch O.S.Engell Kreis Landmesser";"Otto Samuel Engell";"1765";
"Kuressaare";"1782";"1782";"P";"https://drive.google.com/file/d/1KTPTJQMvBw1Hie89E63IgRj4iIZ9yXZp/view?usp=sharing";"";"Charte der Kreis Stadt Arensburg in der Provinz Oesel";"August v. Dreyer";"1782";
"Kuressaare";"1787";"1787";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=17290";"ra.ee=EAA.308.6.409 leht 2";"Geometrische Charte von der Kreiss Stadt Arensburg nebst der herum liegenden Gegend";"Otto Samuel Engell, Andreas Johann Rolander";"1787";
"Kuressaare";"1787";"1790";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=17289";"ra.ee=EAA.308.6.410 leht 1";"Geometrische Charte von der Creys-Stadt Arensburg mit den umliegenden Gegenden";"Moritz H. von Dreyer";"1790";
"Kuressaare";"";"1794";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=15659";"ra.ee=EAA.308.6.29 leht 1";"Charte von den auf Torri abgetheilten Badstüber Plätzen und einige Plätzen welche die in der Beschreibung genannten Besitzer zum Ersaz für ihre durch die neuregulierten Stads-Grenzen verlohrenen Landstücke, erhalten haben";"Friedrich Christoph Sehrwald";"";
"Kuressaare";"1800";"1800";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=229169";"ra.ee=LVVA.6828.4.521 leht 1";"Плань уъздна города Аренсбурга";"";"1800";
"Kuressaare";"1800";"1800";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=17131";"ra.ee=EAA.2072.9.254 leht 1";"Plan der Creis Stadt Arensburg mit der naechst umliegende Gegend.";"";"1800S";
"Kuressaare";"1803";"1803";"P";"https://drive.google.com/file/d/1s4s_6r4ewLUuhpFsgqMMDtBLsmCNwBlP/view?usp=sharing";"";"Генералный плань Аренбургской крепости";"";"1803";
"Kuressaare";"1828";"1820";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=17277";"ra.ee=EAA.308.6.409 leht 1";"Plan von dem Weichbilde der Stadt Arensburg";"Carl Friedrich Ernst Sehrwald";"1820";
"Kuressaare";"1828";"1828";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=229167";"ra.ee=LVVA.6828.4.519 leht 1";"Плань Аренсбургской кръпост и сь показаниемь расположения около оной Города сь окрестностию мъстого ложения.";"";"1828";
"Kuressaare";"";"1856";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=17305";"ra.ee=EAA.308.6.32 leht 1";"Plan von der Kreis Stadt Arensburg.";"Alexander Gustavson";"";
"Kuressaare";"1862";"1862";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=26067";"ra.ee=EAA.298.2.34";"Plan von der Kreis-Stadt Arensburg";"Alexander Gustavson";"1862";
"Kuressaare";"1878";"1878";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=26060";"ra.ee=EAA.298.2.37 leht 1;isbn=9789949512096";"Plan von der Kreisstadt Arensburg";"E. von Plates";"1878";
"Kuressaare";"1902";"1899";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=6397";"ra.ee=EAA.3724.5.2000 leht 1";"План уезднаго города Аренсбурга";"Woldemar Gustav Lichinger";"1899";
"Kuressaare";"1902";"1902";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=235370";"ra.ee=LVVA.6828.4.524 leht 1";"Плань уъзднаго города Аренсбург Лифляндской Губернии";"F. Lange raamatukauplus";"1902";
"Kuressaare";"";"1903";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=206752";"ra.ee=ERA.T-6.3.172 leht 325";"Eestimaa 1 verstaline kaart. Лифляндская губерния. 15-17 (ос. Эзель) Эзельский уезд";"";"";
"Kuressaare";"";"1903";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=206752";"ra.ee=ERA.T-6.3.172 leht 325";"Eestimaa 1 verstaline kaart. Лифляндская губерния. 15-17 (ос. Эзель) Эзельский уезд";"Корпус Военных Топографов";"";
"Kuressaare";"";"1903";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=103625";"ra.ee=ERA.T-6.3.936 leht 1";"Eesti rannikualade kaart 1:50000, 0-34-69 - Б (Кюресааре)";"";"";
"Kuressaare";"1911";"1905";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=104659";"ra.ee=ERA.T-6.3.882 leht 1";"Liivimaa kubermang- 15-17 Saare maakond. Лифляндская губерния. 15-17 (ос. Эзель) Эзельский уезд";"";"1905";
"Kuressaare";"";"1910";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=29951";"ra.ee=EAA.2110.1.4812 leht 1";"Плань уезднаго города Аренсбурга Лифляндскои Губернйи (Островь Эзель)";"";"";
"Kuressaare";"";"1911";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=235380";"ra.ee=LVVA.6828.4.524 leht 2";"Плань уъзднаго города Аренсбург Лифляндской Губернии";"Woldemar Gustav Lichinger";"";
"Kuressaare";"1911";"1911";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=235381";"ra.ee=LVVA.6828.4.525 leht 1";"Плань уъзднаго города Аренсбург Лифляндской Губернии";"Woldemar Gustav Lichinger";"1911";
"Kuressaare";"1918";"1918";"P";"http://www.ester.ee/record=b2923516*est";"isbn=9789949512096";"Arensburg";"Vermess. Abtlg. 5. Sonderkommando";"1918";
"Kuressaare";"1918";"1918";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=102161";"ra.ee=ERA.T-6.3.401 leht 1";"15-17 Baltische Inseln. BI. Arensburg [Karte der 8. Armee 1 : 25 000]";"";"1918.S";
"Kuressaare";"1923";"1923";"P";"https://www.digar.ee/arhiiv/nlib-digar:73175";"isbn=9789949263219";"Kuresaare linna plaan";"A. T.";"1923";
"Kuressaare";"1931";"1931";"P";"http://www.digar.ee/viewer/et/nlib-digar:44965";"isbn=9789949539550;nlib.ee=KtC 5.090";"Kuressaare linna plaan";"J. Zirk";"1931";
"Kuressaare";"";"1935";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=114047";"ERA.T-3.18.451 leht 1";"Kuresaare linna maade plaan";"August Toom";"";
"Kuressaare";"1939";"1939";"P";"https://drive.google.com/file/d/17o8z6TqgUfgnMHu9P4VjSfPiFo4lcvt_/view?usp=sharing";"";"Kuressaare linna üldplaan";"August Toom";"1939";
"Kuressaare";"1941";"1941";"D";"http://www.kuressaare.ee/uus/public/zoomify/Vana_linn_500.htm";"";"Kuressaare linna vana osa põhiplaan";"August Toom";"1941";
"Kuressaare";"1946";"1946";"P";"https://drive.google.com/file/d/1AnRStAGb2hNZOdqNrrEIs12LVLvwYdLc/view?usp=sharing";"";"Курессаре";"";"1946";
"Kuressaare";"1960";"1960";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=279066";"ra.ee=EAA.5238.1.845 leht 1";"Kingissepa linna detailplaneerimine. Maa-ala geodeetiline plaan.";"E. Jaanisoo";"1960";
"Kuressaare";"1970";"1969";"P";"https://fotoladu.maaamet.ee/arhiiv=198872";"ID=С-55-18-Б-б-4 (2883)";"(Kuressaare õhuvõte Maaameti fotolaost)";"Всесоюзный Институт Селскохозяинственных Аерофотогеодезических Изысканий МСХ СССР";"1969_2883";
"Kuressaare";"1970";"1969";"P";"https://fotoladu.maaamet.ee/arhiiv=198870";"ID=С-55-19-А-а-3 (2884)";"(Kuressaare õhuvõte Maaameti fotolaost)";"Всесоюзный Институт Селскохозяинственных Аерофотогеодезических Изысканий МСХ СССР";"1969_2884";
"Kuressaare";"1970";"1969";"P";"https://fotoladu.maaamet.ee/arhiiv=198880";"ID=С-55-18-Б-г-2 (2983)";"(Kuressaare õhuvõte Maaameti fotolaost)";"Всесоюзный Институт Селскохозяинственных Аерофотогеодезических Изысканий МСХ СССР";"1969_2983";
"Kuressaare";"1970T";"1970";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=104671";"ra.ee=ERA.T-14.4-6.33826 leht 1";"Kingissepa linna genplaani korrektuur. Tugiplaan";"Sepp, Luhtein";"1970";
"Kuressaare";"1970";"1970";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=66944";"ra.ee=EAA.5238.1.676 leht 1";"Kingissepa (Kuressaare) linna skeem";"H. Sirel, A. Kukkur";"1970";
"Kuressaare";"1970";"1975";"P";"https://fotoladu.maaamet.ee/arhiiv=37239";"ID=Л-60-7/VI-75-1295";"(Kuressaare õhuvõte Maaameti fotolaost)";"";"1975_1295";
"Kuressaare";"1970";"1975";"P";"https://fotoladu.maaamet.ee/arhiiv=37242";"ID=Л-60-7/VI-75-1329";"(Kuressaare õhuvõte Maaameti fotolaost)";"";"1975_1329";
"Kuressaare";"1970";"1975";"P";"https://fotoladu.maaamet.ee/arhiiv=37244";"ID=Л-60-7/VI-75-1331";"(Kuressaare õhuvõte Maaameti fotolaost)";"";"1975_1331";
"Kuressaare";"1970";"1975";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=306581";"ra.ee=SAMA.451.1.339 leht 18";"Kingissepa linn";"A. Rahu";"1975.Roomassaare";
"Kuressaare";"1986";"1986";"D";"";"T. Raid: Kuressaare, 1986.tif";"Кингисепп";"Главное управление геодезии и картографии при Совете Министров СССР";"1986";
"Lihula";"1683";"1683";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=285210";"ra.ee=EAA.5393.1.6 leht 1";"Delineatio Geometrica öffwer Slottet Lehall ocs Hackelwercketh";"Samuel Waxelberg";"1683";
"Lihula";"1840";"1840";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=28972";"ra.ee=EAA.854.4.469 leht 8";"Schloss Leal";"Friedrich Johann Leufner";"1840";
"Lihula";"";"1850";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=15439";"ra.ee=EAA.854.4.638 leht 1";"Laendereie zum Past[orat] Leal et Kirre[fer]";"";"";
"Lihula";"1853";"1853";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=20138";"ra.ee=EAA.1244.1.78 leht 1";"Special-Charte von den Hofs Ländereien des Pastorathes Leal, mit dem dazu gehörigen Flecken und den Gesinden Tallo.";"Johann Heinrich	Schmidt";"1853";
"Lihula";"1853";"1857";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=16340";"ra.ee=EAA.854.4.444 leht 1";"Plan von dem Gutes Schloss Leal";"";"1857";
"Lihula";"";"1878";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=1775";"ra.ee=EAA.46.2.272 leht 1";"Special Karte von den Lealschen Pastorates Ländern mit dem dazu gehörigen Flecken Leal und Dorf Tallo.";"Schmidt, J. Eichenfeldt";"";
"Lihula";"1883";"1883";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=7794";"ra.ee=EAA.3724.4.646 leht 1";"Karte von den Ländereien des Pastorats Leal. Belegen im Ehstländischen Gouvernement, Strand-Wieckschen District.";"Gotthard Johann	Kiens";"1883";
"Lihula";"";"18XX";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=4689";"ra.ee=EAA.854.4.320 leht 1";"Skizze des Gutes Schloss Leal";"";"";
"Lihula";"1827";"1900";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=54003";"ra.ee=EAA.5240.1.30 leht 43";"Leal";"Karl von Löwis of Menar, Carl Faehlmann";"1900";
"Lihula";"1915";"1915";"P";"https://www.digar.ee/arhiiv/et/pildimaterjal/102031";"isbn=978-9949-659-05-0";"Vc-15 [Lihula] : Гапсал. и Пернов. уезд. Эстлянд. и Лифлянд. губ[ерний]";"Корпус Военных Топографов";"1915";
"Lihula";"1927";"1927";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=104207";"ra.ee=ERA.T-6.3.1916 leht 1";"Läänemaal asuva Lihula aleviku plaan";"P. Gross";"1927";
"Lihula";"1930";"1930";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=136367";"ra.ee=ERA.T-3.15.3027 leht 1";"Läänemaal Lihula vallas Lihula mõisa, Lihula kirikumõisa ja Penijõe mõisa maadel asuva Lihula aleviku ja ümbruskonna reljef. plan";"A. Berg, P. Spuhl";"1930";
"Lihula";"1951";"1951";"P";"https://fotoladu.maaamet.ee/arhiiv=196711";"ID=6169";"(Lihula õhuvõte Maaameti fotolaost)";"Северо-западное предприятие ""Сельхозаэросьемка"" министерство сельского хозяйства СССР";"1951_6169";
"Lihula";"1951";"1951";"P";"https://fotoladu.maaamet.ee/arhiiv=196712";"ID=6170";"(Lihula õhuvõte Maaameti fotolaost)";"Северо-западное предприятие ""Сельхозаэросьемка"" министерство сельского хозяйства СССР";"1951_6170";
"Lihula";"";"1953";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=104681";"ra.ee=ERA.T-14.4-6.8403 leht 1";"Lihula rajoonikeskuse planeerimise ja hoonestamise plaani tööeskiis";"";"";
"Lihula";"1959";"1959";"P";"https://fotoladu.maaamet.ee/arhiiv=197584";"ID=6169";"(Lihula õhuvõte Maaameti fotolaost)";"Сельхозаэросьемка МСХ СССР";"1959_6169";
"Lihula";"1959";"1959";"P";"https://fotoladu.maaamet.ee/arhiiv=197585";"ID=6170";"(Lihula õhuvõte Maaameti fotolaost)";"Сельхозаэросьемка МСХ СССР";"1959_6170";
"Narva";"1600";"1600";"P";"https://sok.riksarkivet.se/bildvisning/K0012462_00001";"isbn=9789949512096;riksarkivet.se=SE/KrA/0406/28/031/049";"Narva Iwanogrot";"";"1600";
"Narva";"";"1648";"U";"https://sok.riksarkivet.se/bildvisning/K0012416_00001";"SE/KrA/0406/28/031/004";"[Narva, Ivanogrot]";"Frans Stegeling";"";
"Narva";"";"1648";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=19132";"ra.ee=EAA.1646.1.2637 leht 8";"Efter Frans Stegelings Karta daterad Narva den 23. Maj 1648 i Kongl. Krigsarkivet.";"Frans Stegelings";"";
"Narva";"";"1649";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=19141";"ra.ee=EAA.1646.1.2634 leht 1";"Die Charte von Narwa de Anno 1649";"";"";
"Narva";"";"1649";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=19142";"ra.ee=EAA.1646.1.2635 leht 1";"Stadt Narva Anno 1649.";"";"";
"Narva";"";"1649";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=19130";"ra.ee=EAA.1646.1.2637 leht 10";"Gunnar Nilsson Welti poolt 1649. a. koostatud Narva plaan";"Gunnar Nilsson";"";
"Narva";"1649";"1649";"P";"http://vana.narvaplan.ee/vananarva/indexe.htm";"";"Plan der Stadt Narva";"Gunnar Nilsson Welt";"1649";
"Narva";"";"1650";"U";"https://sok.riksarkivet.se/bildvisning/K0012419_00001";"SE/KrA/0406/28/031/007";"Geometrischer Grundt Riss des Schlosses und der Stadt Narva samt Iwangorodt…";"";"";
"Narva";"";"1659";"U";"https://sok.riksarkivet.se/bildvisning/K0012420_00001";"SE/KrA/0406/28/031/008";"[Narwen, Iwanogrod]";"";"";
"Narva";"";"1671";"U";"https://sok.riksarkivet.se/bildvisning/K0012421_00001";"SE/KrA/0406/28/031/009";"[Narva, Ivannogrott]";"";"";
"Narva";"";"1681";"U";"https://sok.riksarkivet.se/bildvisning/K0012428_00001";"SE/KrA/0406/28/031/015";"Geometrisch Delineation opå Staden och Slåttet Narfwen sampt Ivanogorodh";"";"";
"Narva";"";"1685";"U";"https://sok.riksarkivet.se/bildvisning/K0012434_00001";"SE/KrA/0406/28/031/021";"Geometrisch Plaan Utaf Staden och Fästningen Narwa Sambt huruledes den efter Hans Kongel";"";"";
"Narva";"";"1686";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=19134";"ra.ee=EAA.1646.1.2637 leht 6";"[Erik Dahlbergi koostatud Narva uue kindluse plaan.]";"Erik Dahlberg";"";
"Narva";"";"1686";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=211612";"ra.ee=EAA.1646.1.2637 leht 7";"[Erik Dahlbergi koostatud Narva uue kindluse plaan.]";"Erik Dahlberg";"";
"Narva";"1686";"1686";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=284108";"ra.ee=EAA.5393.1.8 leht 1";"Geometrisch Plaan Utaf Staden och Fästningen Narwa Sambt huruledes den effter Hans Kongel.";"Hans Kongel";"1686";
"Narva";"1700";"1700";"P";"https://sok.riksarkivet.se/bildvisning/K0012468_00001";"isbn=9789949512096,riksarkivet.se=SE/KrA/0406/28/031/056";"Narva";"";"1700";
"Narva";"1718";"1718";"P";"http://www.ester.ee/record=b2923516*est";"isbn=9789949512096";"Plan von Narva";"";"1718";
